year,production
1871,327
1872,385
1873,382
1874,217
1875,609
1876,466
1877,621
1878,455
1879,472
1880,469
1881,426
1882,579
1883,509
1884,580
1885,611
1886,609
1887,469
1888,661
1889,525
1890,648
1891,747
1892,757
1893,767
1894,767
1895,745
1896,760
1897,703
1898,909
1899,870
1900,852
1901,886
1902,960
1903,976
1904,857
1905,939
1906,973
1907,886
1908,836
1909,1054
1910,1142
1911,941
1912,1117
1913,992
1914,1037
1915,1157
1916,1207
1917,1326
1918,1445
1919,1444
1920,1509
1921,1005
1922,1254
1923,1518
1924,1245
1925,1376
1926,1289
1927,1211
1928,1373
1929,1533
1930,1648
1931,1565
1932,1018
1933,1327
1934,1085
1935,1302
1936,1163
1937,1569
1938,1386
1939,1881
1940,1460
1941,1262
1942,1408
1943,1406
1944,1951
1945,1991
1946,1315
1947,2107
1948,1980
1949,1969
1950,2030
1951,2332
1952,2256
1953,2059
1954,2244
1955,2193
1956,2176
1957,1668
1958,1736
1959,1796
1960,1944
1961,2061
1962,2315
1963,2344
1964,2228
1965,1855
1966,1887
1967,1968
1968,1710
1969,1804
1970,1906
1971,1705
1972,1749
1973,1742
1974,1990
1975,2182
1976,2137
1977,1914
1978,2025
1979,1527
1980,1786
1981,2064
1982,1994
1983,1429
1984,1728